ppg_id,own_price_elasticity,own_price_pvalue,cross_price_elasticity,cross_price_pvalue,tdp_elasticity,tdp_pvalue,intercept,own_price_sig,cross_price_sig,tdp_sig
PPG_01,-2.56868097103612,2.564800433467251e-64,0.6503162989700773,0.0005159596911340959,0.6868852157667851,5.960534417734788e-25,12.054862829708425,***,***,***
PPG_02,-2.448000534170993,6.831774539850465e-60,0.5459078265237807,0.0029662685836179185,0.7188193492360342,1.120428457066054e-29,12.17049015963513,***,***,***
PPG_03,-2.541433070153131,3.073575560649808e-58,1.1488585533072637,2.2865552417075273e-09,0.608244269018265,3.759832672160487e-21,11.175152496164927,***,***,***
PPG_04,-2.4517401300706263,2.1003296308337138e-60,0.9583738101887871,4.384722532501623e-07,0.6408590654155093,2.859387033722691e-22,11.26096416910508,***,***,***
PPG_05,-2.2655066649222384,5.3975646641313075e-59,1.1570947894678172,1.8367398503537092e-08,0.6973148364528745,4.239506310622101e-29,10.063329960474004,***,***,***
PPG_06,-2.535963760281655,1.8103172373408088e-62,0.6177475782047956,0.0021597519154507583,0.7720991482303603,6.071181898983139e-34,11.556955863645769,***,***,***
PPG_07,-2.701671842491823,1.8781865647422496e-60,0.6748161445515533,0.0004015846397792422,0.7731749876685097,1.1627207193524353e-36,11.740682255646554,***,***,***
PPG_08,-2.433458855370123,3.18926417616893e-49,0.6430664555028462,0.0006584524165656212,0.6758549908465677,3.6033451484930446e-27,11.771388567180438,***,***,***
PPG_09,-2.493235870953452,5.002706949916407e-58,0.7939710612876283,0.0001230728927680716,0.7612021808875054,3.1230484387976163e-29,11.22365739691815,***,***,***
PPG_10,-2.476140023160948,1.2455573789883856e-59,0.841671451889646,1.0738468136465542e-05,0.6620792809718763,3.6076896765974705e-26,11.623212445768488,***,***,***
